"index","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371"
"1",0,16.781,35.703,53.781,71.922,90.094,108.281,126.453,144.641,162.844,181.016,199.219,217.391,235.594,253.75,271.984,290.141,308.359,326.5,344.75,362.906,381.047,399.187,417.281,435.484,453.672,471.812,490.203,508.344,526.625,544.922,563.125,581.406,599.656,617.875,636.047,654.422,672.594,690.812,708.937,727.266,745.578,763.797,782.109,800.484,818.797,837.016,855.25,873.578,891.812,910.141,928.391,946.719,965.047,983.391,1001.766,1020.172,1038.594,1056.922,1075.203,1093.687,1112,1130.328,1148.75,1167.125,1185.641,1203.984,1222.406,1240.797,1259.156,1277.547,1295.906,1314.297,1332.687,1351.203,1369.687,1388.125,1406.578,1425.062,1443.609,1462.047,1480.547,1499.031,1517.672,1536.109,1554.781,1573.281,1591.859,1610.406,1628.953,1647.562,1666.062,1684.656,1703.219,1721.891,1740.437,1759.016,1777.641,1796.328,1815.047,1833.75,1852.391,1871.078,1889.844,1908.578,1927.281,1946.031,1964.891,1983.703,2002.484,2021.187,2039.906,2058.641,2077.406,2096.312,2115.047,2133.969,2152.812,2171.625,2190.547,2209.422,2228.297,2247.219,2265.969,2284.937,2303.859,2322.797,2341.766,2360.594,2379.578,2398.672,2417.797,2436.906,2455.969,2474.984,2494.031,2513.187,2532.391,2551.547,2570.578,2589.703,2608.797,2627.953,2647.234,2666.516,2685.812,2704.969,2724.203,2743.453,2762.625,2781.922,2801.25,2820.625,2839.937,2859.234,2878.578,2897.937,2917.281,2936.687,2956.078,2975.453,2994.969,3014.453,3033.891,3053.375,3072.859,3092.328,3111.828,3131.234,3150.672,3170.187,3189.734,3209.297,3229.016,3248.625,3268.328,3287.969,3307.625,3327.234,3346.937,3366.781,3386.641,3406.656,3426.625,3446.875,3466.984,3487.078,3507.328,3527.562,3547.781,3568.062,3588.328,3608.594,3628.953,3649.375,3669.875,3690.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,16.672,35.703,53.828,71.891,90.047,108.313,126.391,144.625,162.719,180.953,199.016,217.297,235.469,253.735,271.813,290.063,308.266,326.422,344.594,362.782,381.016,399.25,417.422,435.563,453.75,472.032,490.328,508.516,526.641,544.891,563.078,581.235,599.5,617.703,636.032,654.172,672.344,690.547,708.844,727.047,745.266,763.703,782,800.25,818.563,836.953,855.344,873.578,891.828,910.25,928.625,947,965.344,983.688,1002,1020.344,1038.703,1057.078,1075.422,1093.75,1112.063,1130.485,1148.75,1167.094,1185.438,1203.875,1222.172,1240.563,1259.094,1277.453,1295.844,1314.391,1332.766,1351.235,1369.688,1388.141,1406.61,1425.188,1443.703,1462.282,1480.672,1499.203,1517.766,1536.313,1554.828,1573.422,1591.969,1610.532,1629.235,1647.844,1666.5,1685.094,1703.719,1722.344,1741.016,1759.703,1778.36,1796.969,1815.625,1834.297,1852.953,1871.657,1890.313,1909.172,1927.875,1946.672,1965.407,1984.188,2002.907,2021.625,2040.36,2059.078,2077.86,2096.641,2115.688,2134.594,2153.563,2172.407,2191.25,2210.11,2228.938,2247.953,2266.875,2286,2305.032,2323.985,2342.907,2362.016,2381.125,2400.078,2419.063,2438.078,2457.172,2476.266,2495.36,2514.438,2533.438,2552.516,2571.578,2590.735,2609.813,2628.969,2648.266,2667.516,2686.735,2706.047,2725.328,2744.703,2763.907,2783.047,2802.344,2821.641,2840.922,2860.407,2879.766,2899.141,2918.438,2937.922,2957.407,2976.813,2996.188,3015.641,3035.094,3054.578,3074.016,3093.532,3113.094,3132.641,3152.235,3171.766,3191.25,3210.703,3230.375,3250.032,3269.688,3289.532,3309.188,3328.828,3348.735,3368.688,3388.735,3408.75,3428.719,3448.797,3468.953,3489.219,3509.61,3529.828,3550.157,3570.453,3590.797,3611.172,3631.438,3651.875,3672.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,16.797,35.766,53.891,72.094,90.187,108.328,126.609,144.828,163.062,181.25,199.406,217.453,235.516,253.797,271.937,290.109,308.25,326.375,344.562,362.719,380.844,399.078,417.234,435.437,453.641,471.844,490.062,508.281,526.516,544.75,562.969,581.187,599.359,617.547,635.719,654.078,672.359,690.562,709,727.172,745.453,763.672,781.937,800.312,818.641,836.969,855.344,873.734,892.125,910.344,928.641,947.031,965.422,983.781,1002.156,1020.531,1038.875,1057.391,1075.812,1094.172,1112.547,1130.906,1149.203,1167.5,1185.844,1204.234,1222.562,1241,1259.406,1277.875,1296.266,1314.687,1333.203,1351.703,1370.203,1388.703,1407.234,1425.766,1444.312,1462.781,1481.391,1499.953,1518.484,1537.094,1555.641,1574.203,1592.734,1611.266,1629.812,1648.406,1666.984,1685.516,1704.25,1722.812,1741.469,1760.156,1778.828,1797.547,1816.297,1835.031,1853.781,1872.531,1891.266,1910.031,1928.687,1947.344,1966.062,1984.719,2003.437,2022.203,2040.984,2059.766,2078.562,2097.359,2116.094,2134.859,2153.719,2172.672,2191.609,2210.516,2229.437,2248.422,2267.469,2286.406,2305.297,2324.281,2343.359,2362.25,2381.203,2400.266,2419.234,2438.312,2457.422,2476.484,2495.625,2514.734,2533.859,2552.937,2572.016,2591.125,2610.266,2629.437,2648.641,2667.766,2686.906,2705.984,2725.266,2744.562,2763.812,2783.156,2802.406,2821.719,2840.953,2860.344,2879.719,2899.25,2918.703,2938.156,2957.469,2976.859,2996.297,3015.766,3035.281,3054.797,3074.297,3093.719,3113.25,3132.875,3152.531,3172.156,3191.734,3211.312,3230.953,3250.437,3270.062,3289.766,3309.422,3329.281,3349.109,3368.937,3388.906,3408.719,3428.656,3448.641,3468.859,3489.094,3509.453,3529.641,3549.906,3570.25,3590.594,3610.844,3631.203,3651.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,16.766,35.75,53.813,72.047,90.219,108.375,126.578,144.782,163.016,181.203,199.375,217.594,235.86,254.063,272.235,290.36,308.547,326.782,344.86,363.094,381.25,399.391,417.5,435.61,453.813,471.969,490.282,508.485,526.625,544.875,563.094,581.235,599.469,617.563,635.828,653.953,672.125,690.391,708.563,726.766,745.094,763.344,781.625,800.016,818.453,836.578,854.938,873.328,891.735,910.078,928.547,946.828,965.188,983.5,1001.922,1020.188,1038.532,1056.86,1075.125,1093.61,1111.969,1130.297,1148.672,1167.078,1185.563,1203.985,1222.36,1240.907,1259.297,1277.766,1296.094,1314.532,1332.922,1351.469,1369.86,1388.375,1406.969,1425.5,1444.078,1462.657,1481.157,1499.719,1518.282,1536.875,1555.375,1574.157,1592.703,1611.188,1629.75,1648.344,1666.953,1685.672,1704.219,1722.813,1741.453,1760.219,1778.922,1797.532,1816.235,1835.032,1853.86,1872.625,1891.375,1910.11,1928.844,1947.61,1966.328,1985,2003.797,2022.703,2041.438,2060.36,2079.094,2097.86,2116.719,2135.578,2154.438,2173.375,2192.297,2211.125,2229.953,2248.828,2267.766,2286.719,2305.657,2324.688,2343.672,2362.625,2381.594,2400.578,2419.641,2438.625,2457.703,2476.953,2496.141,2515.203,2534.313,2553.344,2572.375,2591.657,2610.797,2630,2649.125,2668.235,2687.438,2706.86,2726.11,2745.344,2764.61,2783.891,2803.219,2822.438,2841.703,2860.907,2880.203,2899.547,2918.985,2938.266,2957.75,2977.188,2996.703,3016.188,3035.657,3055.282,3074.688,3094.11,3113.594,3133.078,3152.657,3172.172,3191.703,3211.235,3230.891,3250.563,3270.219,3289.86,3309.719,3329.5,3349.313,3369.157,3389.078,3408.922,3428.766,3449,3469.032,3489.297,3509.563,3529.891,3550.157,3570.532,3590.75,3611.157,3631.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,16.719,35.656,53.859,72,90.156,108.359,126.563,144.625,162.844,181.031,199.281,217.5,235.656,253.75,271.875,290,308.219,326.438,344.547,362.766,381,399.188,417.328,435.578,453.734,471.891,490.078,508.266,526.469,544.594,562.813,581.047,599.328,617.609,635.766,653.953,672.266,690.484,708.906,727.172,745.469,763.703,781.969,800.406,818.734,837.031,855.281,873.594,892.031,910.266,928.609,946.891,965.109,983.5,1001.875,1020.266,1038.625,1056.953,1075.25,1093.563,1111.922,1130.297,1148.688,1167.031,1185.531,1203.813,1222.188,1240.516,1258.844,1277.203,1295.656,1314.141,1332.656,1351.219,1369.625,1388.094,1406.578,1425.109,1443.656,1462.094,1480.531,1498.984,1517.516,1536.047,1554.609,1573.203,1591.719,1610.313,1628.813,1647.406,1665.969,1684.438,1703.094,1721.625,1740.375,1759.063,1777.719,1796.563,1815.281,1833.984,1852.703,1871.438,1890.234,1908.891,1927.719,1946.469,1965.219,1984.078,2002.891,2021.781,2040.516,2059.344,2078.078,2096.906,2115.672,2134.516,2153.484,2172.234,2191.156,2210.047,2228.953,2247.766,2266.672,2285.594,2304.531,2323.453,2342.531,2361.609,2380.516,2399.531,2418.578,2437.656,2456.797,2475.719,2494.797,2513.813,2532.875,2551.922,2571.063,2590.156,2609.219,2628.313,2647.547,2666.672,2686.031,2705.234,2724.406,2743.703,2762.922,2782.281,2801.609,2820.859,2840.156,2859.422,2878.813,2898.203,2917.5,2936.938,2956.328,2975.688,2995.063,3014.469,3033.875,3053.25,3072.672,3092.203,3111.766,3131.313,3150.875,3170.438,3190,3209.578,3229.141,3248.766,3268.344,3287.938,3307.688,3327.531,3347.328,3367.156,3387,3406.906,3426.844,3447.016,3466.984,3487.172,3507.391,3527.672,3547.922,3568.156,3588.563,3608.766,3629.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,16.719,35.703,53.906,71.953,90.11,108.25,126.25,144.36,162.563,180.781,199,217.188,235.36,253.594,271.719,289.906,308.016,326.297,344.5,362.641,380.86,399.078,417.203,435.406,453.61,471.797,490.016,508.156,526.313,544.516,562.766,580.922,599.125,617.25,635.485,653.813,672.219,690.406,708.781,727.016,745.328,763.516,781.781,800.047,818.297,836.594,855,873.36,891.547,909.813,928.281,946.547,964.938,983.235,1001.516,1019.813,1038.172,1056.578,1074.891,1093.235,1111.563,1129.969,1148.36,1166.703,1185.11,1203.5,1222.031,1240.578,1258.906,1277.36,1295.86,1314.281,1332.813,1351.297,1369.719,1388.219,1406.656,1425.203,1443.703,1462.266,1480.844,1499.406,1517.938,1536.516,1555,1573.469,1592,1610.61,1629.188,1647.781,1666.406,1684.953,1703.61,1722.25,1740.875,1759.422,1778.063,1796.75,1815.344,1833.906,1852.641,1871.375,1890.297,1909.063,1927.75,1946.485,1965.281,1983.985,2002.735,2021.547,2040.453,2059.36,2078.25,2097.188,2115.906,2134.797,2153.703,2172.625,2191.594,2210.547,2229.5,2248.516,2267.438,2286.25,2305.25,2324.235,2343.172,2362.172,2381.156,2400.281,2419.266,2438.281,2457.25,2476.344,2495.406,2514.5,2533.61,2552.719,2571.797,2590.891,2610.016,2629.125,2648.297,2667.469,2686.766,2705.922,2725.203,2744.5,2763.703,2782.922,2802.266,2821.485,2840.75,2860.141,2879.453,2898.797,2918.172,2937.641,2957.047,2976.531,2996.016,3015.516,3034.938,3054.391,3073.875,3093.531,3113.016,3132.625,3152.141,3171.672,3191.297,3210.891,3230.485,3250.203,3269.797,3289.531,3309.25,3329.047,3348.906,3368.906,3388.891,3408.766,3428.828,3448.953,3469.188,3489.422,3509.641,3530,3550.375,3570.781,3591.188,3611.516,3631.906,3652.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,16.719,35.562,53.687,71.891,90.078,108.266,126.375,144.5,162.656,180.828,198.984,217.172,235.391,253.547,271.75,289.922,308.031,326.203,344.312,362.391,380.516,398.687,416.844,434.953,453.234,471.437,489.641,507.844,526.141,544.328,562.547,580.766,599.109,617.437,635.703,653.859,672.172,690.375,708.578,726.953,745.156,763.359,781.594,799.922,818.25,836.562,854.766,873,891.312,909.594,927.953,946.234,964.578,982.875,1001.219,1019.578,1037.906,1056.312,1074.687,1093.016,1111.406,1129.859,1148.172,1166.578,1184.953,1203.359,1221.672,1240.203,1258.578,1276.953,1295.375,1313.828,1332.203,1350.797,1369.344,1387.828,1406.266,1424.656,1443.172,1461.703,1480.281,1498.875,1517.375,1535.844,1554.328,1572.844,1591.391,1609.984,1628.516,1647.094,1665.687,1684.234,1702.75,1721.375,1740.047,1758.719,1777.437,1796.047,1814.719,1833.328,1851.984,1870.812,1889.594,1908.344,1927.109,1945.766,1964.531,1983.281,2002.047,2020.734,2039.516,2058.375,2077.203,2096.047,2114.828,2133.656,2152.656,2171.484,2190.422,2209.312,2228.172,2247.094,2265.969,2284.969,2303.906,2322.953,2341.812,2360.828,2379.859,2398.797,2417.734,2436.75,2455.75,2474.859,2493.875,2513.031,2532.141,2551.266,2570.391,2589.672,2608.812,2628.062,2647.391,2666.609,2685.828,2705.203,2724.453,2743.656,2762.875,2782.094,2801.484,2820.734,2839.937,2859.312,2878.609,2897.937,2917.359,2936.844,2956.328,2975.781,2995.219,3014.656,3034.203,3053.687,3073.125,3092.641,3112.094,3131.516,3151.047,3170.641,3190.359,3209.953,3229.656,3249.312,3268.922,3288.75,3308.422,3328.156,3347.891,3367.781,3387.812,3407.734,3427.656,3447.766,3468.094,3488.281,3508.531,3528.844,3549.125,3569.391,3589.719,3610.094,3630.453,3650.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,16.75,35.578,53.844,72.031,90.109,108.375,126.453,144.578,162.765,180.969,199.156,217.406,235.578,253.89,272.078,290.281,308.453,326.64,344.844,362.984,381.203,399.375,417.609,435.75,453.937,472.14,490.5,508.703,526.89,545.094,563.453,581.547,599.781,618.187,636.359,654.64,672.844,691.078,709.484,727.828,745.969,764.187,782.375,800.672,819,837.344,855.719,873.969,892.312,910.609,928.89,947.203,965.75,984.109,1002.5,1020.797,1039.203,1057.547,1075.969,1094.312,1112.719,1131.094,1149.515,1167.969,1186.375,1204.922,1223.359,1241.859,1260.219,1278.781,1297.297,1315.765,1334.078,1352.578,1371.109,1389.594,1408.109,1426.656,1445.078,1463.765,1482.312,1501.078,1519.64,1538.14,1556.765,1575.422,1594.015,1612.547,1631.125,1649.765,1668.39,1686.953,1705.5,1724.125,1742.734,1761.359,1780.094,1798.828,1817.531,1836.297,1854.922,1873.594,1892.312,1911.047,1929.828,1948.515,1967.25,1985.969,2004.781,2023.672,2042.453,2061.328,2080.25,2098.969,2117.922,2136.75,2155.531,2174.344,2193.25,2212.109,2231.062,2249.875,2268.765,2287.765,2306.719,2325.64,2344.594,2363.64,2382.594,2401.562,2420.64,2439.64,2458.64,2477.594,2496.687,2515.781,2534.906,2554.015,2573.109,2592.39,2611.515,2630.672,2649.89,2669.156,2688.484,2707.765,2727.047,2746.344,2765.672,2784.906,2804.203,2823.531,2843,2862.219,2881.547,2901.031,2920.484,2939.875,2959.25,2978.609,2998.109,3017.594,3036.984,3056.422,3075.875,3095.328,3114.781,3134.453,3153.969,3173.422,3193.094,3212.719,3232.422,3252.234,3271.906,3291.484,3311.328,3331.203,3351.047,3370.875,3390.797,3410.672,3430.719,3450.812,3471.015,3491.234,3511.578,3531.75,3552.062,3572.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,16.734,35.578,53.719,71.828,90.062,108.203,126.375,144.547,162.719,180.922,199.141,217.297,235.437,253.672,271.891,289.969,308.156,326.187,344.312,362.594,380.875,399.062,417.203,435.547,453.75,471.953,490.156,508.328,526.484,544.687,562.937,581.141,599.422,617.594,635.797,654.109,672.422,690.75,709.078,727.297,745.625,764.047,782.391,800.719,819.156,837.484,855.75,874.031,892.297,910.625,928.953,947.203,965.562,983.828,1002.187,1020.453,1038.812,1057.219,1075.578,1093.922,1112.234,1130.672,1149.062,1167.328,1185.719,1204.062,1222.453,1240.906,1259.297,1277.687,1296.203,1314.516,1332.984,1351.484,1369.922,1388.422,1406.984,1425.453,1444.094,1462.625,1481.078,1499.625,1518.141,1536.672,1555.219,1573.75,1592.297,1610.875,1629.516,1648.094,1666.562,1685.078,1703.656,1722.312,1740.937,1759.484,1778.062,1796.672,1815.437,1834.109,1852.984,1871.625,1890.359,1909.203,1927.969,1946.75,1965.594,1984.437,2003.172,2022.031,2040.844,2059.609,2078.359,2097.172,2115.969,2134.781,2153.687,2172.547,2191.406,2210.312,2229.203,2248.187,2267.094,2285.984,2304.891,2323.812,2342.812,2361.922,2380.953,2400.078,2419.125,2438.141,2457.266,2476.312,2495.422,2514.562,2533.578,2552.719,2571.828,2591.062,2610.172,2629.312,2648.578,2667.828,2687.047,2706.203,2725.375,2744.656,2763.969,2783.328,2802.531,2821.797,2841.125,2860.594,2879.891,2899.312,2918.719,2938.312,2957.687,2977.078,2996.484,3016,3035.453,3054.859,3074.391,3093.891,3113.391,3132.891,3152.328,3171.937,3191.594,3211.266,3230.937,3250.531,3270.187,3289.891,3309.625,3329.422,3349.172,3369.047,3389.125,3409.062,3429.047,3449.016,3469.344,3489.594,3510,3530.344,3550.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,16.672,35.563,53.735,71.797,89.985,108.172,126.344,144.547,162.61,180.735,198.875,217.094,235.282,253.485,271.657,289.86,308.063,326.282,344.422,362.625,380.829,399.016,417.172,435.344,453.547,471.704,489.907,508.047,526.25,544.485,562.657,581.047,599.25,617.407,635.766,653.938,672.141,690.329,708.61,727.063,745.313,763.625,782,800.36,818.61,836.938,855.297,873.5,891.86,910.204,928.516,946.782,965.157,983.547,1001.907,1020.25,1038.516,1056.86,1075.188,1093.516,1111.875,1130.313,1148.75,1167.204,1185.719,1204.141,1222.688,1241.11,1259.469,1277.969,1296.422,1314.844,1333.25,1351.86,1370.344,1388.875,1407.407,1425.875,1444.266,1462.797,1481.36,1499.875,1518.407,1536.969,1555.5,1574.141,1592.657,1611.235,1629.766,1648.313,1666.891,1685.625,1704.172,1722.75,1741.422,1760.079,1778.766,1797.375,1816.032,1834.657,1853.266,1872.079,1890.766,1909.532,1928.282,1947.047,1965.735,1984.485,2003.266,2022,2040.922,2059.75,2078.61,2097.5,2116.235,2135.125,2154.079,2172.938,2191.922,2210.782,2229.735,2248.61,2267.563,2286.485,2305.36,2324.313,2343.344,2362.282,2381.282,2400.188,2419.297,2438.391,2457.422,2476.438,2495.469,2514.641,2533.766,2552.86,2571.985,2591.172,2610.344,2629.657,2648.813,2667.938,2687.25,2706.469,2725.735,2744.969,2764.329,2783.579,2802.829,2822.125,2841.391,2860.719,2879.985,2899.485,2918.891,2938.282,2957.735,2977.079,2996.672,3015.938,3035.313,3054.719,3074.297,3093.86,3113.391,3132.969,3152.594,3172.313,3191.922,3211.516,3231.25,3250.938,3270.594,3290.188,3310.016,3329.907,3349.954,3369.813,3389.735,3409.625,3429.672,3449.844,3470.047,3490.454,3510.766,3531.032,3551.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
